"Y01","Account_Type","Additional_Seats","Age","Arrival_Time","Auto_Renew_STH","Concession_Total","DistA","Educational_Level","Favorite_Caps_Player","Favorite_Sport","Favorite_Team","First_Year_STH","HouseHold_Income_True","Job_Sector","Marital","Mode_Of_Transport","Most_Purch_Concession","Mult_Loc","Net_Worth_True","Num_Children","NumSeats","PerSold","PerTransf","PerUsed","Rejoined_STH","Rep_Calls","Rep_Name","Rep_Visits","Sex","Spent_Other_Teams","STH_Attended","Survey_Comp","Team_B_STH","Team_C_STH","Team_Network_Sub","Team_Store_Total","Tenure","Ticket_Form","Total_Spent","Weekday_Attended","Weekday_Sold","Weekend_Attended","Weekend_Sold","Region"
1,"Personal",0,54,30,"No",974.12,2,"PHD","Dylan Strome","NHL","Washington Capitals",2021,110000,"Gov","M","Public","Burger","No",8e+05,1,2,0.276296847,0.241875053,0.936806389,FALSE,62.90645142,"Frank",15,"M",1402.475,2,0,"No","No","No",147.86,4,"Digital",2524.455,0.929078014,0.070921986,0.85,0.279,"DCArea"
0,"Shared",0,54,30,"Yes",684.55,120,"BD","Nicklas Backstrom","Other","Other",2021,85000,"Tech","M","Public","Beer","No",1e+06,1,2,0.095408463,0.039954612,0.010339444,FALSE,67,"Grace",6,"M",855.6875,0,0.17,"No","No","Yes",0,4,"Physical",1540.2375,0.531205674,0.468794326,0.87,0.02,"West"
0,"Personal",0,27,30,"No",778.76,136,"AD","Alexander Ovechkin","NHL","Other",2024,60000,"Tech","S","Other","Hot Dog","No",150000,2,2,0.092713832,0.083069058,0.191181319,FALSE,73.16217179,"Grace",15.5,"M",1473.45,2,0.37,"No","No","No",0,1,"Digital",2252.21,0.40141844,0.59858156,0.64,0.187,"West"
1,"Shared",0,30,30,"No",922.51,120,"PHD","Pierre-Luc Dubois","NHL","Philadelphia Flyers",2022,45000,"Gov","D","Car","Hot Dog","No",550000,1,2,0.004115726,0.011857692,0.95,FALSE,14,"Emma",11.5,"M",1295.2125,1,0.37,"No","No","Yes",113.66,3,"Digital",2331.3825,0.659574468,0.340425532,0.85,0.012,"Northeast"
1,"Personal",0,61,30,"Yes",858.7,35,"SC","Nic Dowd","Other","Washington Capitals",1984,80000,"Finance","M","Public","Hot Dog","No",1700000,0,2,0.180702858,0.049893732,0.93,FALSE,44,"David",13,"M",1073.375,2,0,"No","Yes","No",0,41,"Digital",1932.075,0.484397163,0.515602837,0.63,0.165,"DCArea"
0,"Personal",0,73,45,"Yes",965.53,136,"BD","T.J. Oshie","Other","Washington Capitals",2015,115000,"Tech","D","Public","Beer","No",1700000,0,4,0.076009335,0.019020618,0.096681426,TRUE,73.47983201,"Grace",13,"F",1445.1875,1,0,"Yes","No","No",190.62,5,"Digital",2601.3375,0.773049645,0.226950355,0.6,0.189,"Midwest"
1,"Personal",0,27,-15,"Yes",589.86,215,"BD","Nic Dowd","NHL","Other",2024,35000,"Tech","M","Car","Beer","No",6e+05,0,2,0.020331006,0.149001559,0.641010174,FALSE,70.88308581,"Grace",5,"M",500,1,0.42,"No","Yes","No",73.48,1,"Digital",1163.34,0.956737589,0.043262411,0.97,0,"South"
1,"Personal",0,69,30,"Yes",790.81,198,"AD","T.J. Oshie","NHL","Washington Capitals",1989,155000,"Gov","S","Car","Burger","No",2200000,0,2,0.057690425,0.043093637,0.102362233,FALSE,77,"Grace",12,"M",0,3,0.42,"No","No","Yes",1141.2,36,"Digital",1932.01,0.608510638,0.391489362,0.72,0.117,"South"
1,"Personal",0,51,30,"Yes",1278.63,251,"PHD","T.J. Oshie","NHL","Washington Capitals",2011,1e+05,"Manufact","U","Public","Hot Dog","No",2450000,1,4,0.145126297,0.093309714,0.100549378,FALSE,74,"Emma",12.5,"M",0,5,0.16,"Yes","No","No",493.01,14,"Digital",1771.64,0.809929078,0.190070922,0.88,0.04,"South"
1,"Personal",0,50,60,"Yes",911.57,54,"BD","T.J. Oshie","NHL","Washington Capitals",2011,145000,"Finance","M","Car","Beer","No",2050000,3,4,0,0.3,0.95,FALSE,37.51449005,"David",17,"M",1758,2,0.19,"No","No","No",494.83,14,"Digital",3164.4,0.908510638,0.091489362,0.6,0.071,"DCArea"
1,"Personal",0,55,45,"Yes",806.83,35,"SC","Charlie Lindgren","Other","Washington Capitals",2020,70000,"Edu","M","Car","Specialty","No",1150000,1,2,0.019181098,0.032395748,0.696399192,FALSE,77,"Alice",11,"M",1228.2875,0,0.64,"Yes","Yes","No",175.8,5,"Physical",2210.9175,0.868794326,0.131205674,0.91,0.079,"DCArea"
1,"Personal",0,74,60,"Yes",1011.89,32,"SC","Ethen Frank","Other","Washington Capitals",1995,90000,"Gov","M","Car","Hot Dog","No",8e+05,0,2,0,0.3,0.628654353,FALSE,25,"David",13,"M",500,2,0.11,"Yes","No","Yes",5197.5,30,"Digital",6709.39,0.609219858,0.390780142,0.37,0.086,"DCArea"
1,"Personal",0,34,30,"Yes",991.5,35,"SC","Alexander Ovechkin","NHL","Washington Capitals",2018,45000,"Finance","M","Public","Soda","No",9e+05,1,2,0.036607717,0.01534426,0.965506654,TRUE,53,"Alice",10,"M",500,1,0,"Yes","No","Yes",76.62,1,"Digital",1568.12,0.526950355,0.473049645,0.98,0.069,"DCArea"
0,"Personal",0,66,45,"No",795.35,132,"SC","Alexander Ovechkin","NHL","Other",2022,120000,"Finance","U","Public","Popcorn","No",2450000,0,2,0.061978724,0.01,0.193035553,FALSE,45.82898477,"Other",8,"M",1109.325,5,0,"No","Yes","Yes",92.11,3,"Digital",1996.785,0.95035461,0.04964539,1,0.053,"Midwest"
0,"Personal",0,51,45,"Yes",835.15,132,"AD","Anthony Beauvillier","NHL","Other",2020,140000,"Gov","M","Uber/Taxi","Burger","No",1600000,2,2,0.082143975,0.044551883,0.166872269,TRUE,27,"Alice",8,"M",500,2,0.39,"Yes","No","No",0,1,"Digital",1335.15,0.633333333,0.366666667,0.98,0.087,"West"
1,"Business",0,20,30,"Yes",1085.25,3,"BD","Sonny Milano","NHL","Washington Capitals",2024,85000,"Tech","M","Car","Burger","No",5e+05,0,4,0.135427347,0.013385862,0.655801554,FALSE,60,"Alice",8.5,"M",0,2,0.31,"No","No","No",96.27,1,"Digital",1181.52,0.535460993,0.464539007,0.51,0.117,"DCArea"
1,"Shared",0,73,15,"Yes",931.29,39,"AD","Alexander Ovechkin","NHL","Washington Capitals",2008,120000,"Finance","D","Public","Specialty","No",1150000,0,4,0.055029329,0.01,0.458062778,FALSE,41,"Frank",15,"M",1906.8125,5,0,"No","No","No",594.16,17,"Digital",3432.2625,0.604255319,0.395744681,0.43,0.049,"DCArea"
1,"Personal",0,57,60,"No",781.28,40,"SC","John Carlson","NHL","Washington Capitals",2021,90000,"Gov","D","Car","Burger","No",1100000,2,2,0.008917572,0.172528657,0.832874145,FALSE,61,"Grace",13,"M",1476.6,1,0.3,"No","No","No",0,4,"Digital",2257.88,0.239716312,0.760283688,0.62,0.013,"DCArea"
0,"Personal",0,64,30,"Yes",1315.77,85,"AD","Alexander Ovechkin","NHL","Other",2010,135000,"Finance","M","Uber/Taxi","Popcorn","No",1500000,2,4,0.139880517,0.034853278,0.152015,FALSE,42,"David",19,"M",1644.7125,1,0,"Yes","No","Yes",0,15,"Digital",2960.4825,0.85177305,0.14822695,0.9,0.009,"Midwest"
1,"Personal",0,81,0,"Yes",624.06,187,"BD","T.J. Oshie","NHL","New Jersey Devils",1992,60000,"Gov","M","Uber/Taxi","Burger","No",9e+05,0,2,0.099977246,0.003,0.106268818,FALSE,45,"Emma",20,"M",2210.075,4,0.23,"Yes","No","No",1144,33,"Digital",3978.135,0.812056738,0.187943262,0.96,0.101,"Northeast"
0,"Personal",0,55,30,"Yes",821.3,197,"MD","T.J. Oshie","NHL","Other",2018,85000,"Gov","M","Car","Specialty","No",1900000,2,2,0.141214945,0.025565895,0.159921268,FALSE,73.98747021,"Frank",6.5,"M",0,0,0,"Yes","No","No",239.11,7,"Digital",1060.41,0.410638298,0.589361702,0.12,0.093,"South"
1,"Personal",0,69,15,"Yes",1074.74,85,"BD","T.J. Oshie","NHL","Washington Capitals",2003,70000,"Gov","U","Other","Soda","No",1500000,0,4,0.013602594,0.048645075,1,FALSE,51.05716596,"David",27,"M",500,2,0,"No","No","No",3850.08,22,"Digital",5424.82,0.535460993,0.464539007,0.66,0.067,"South"
1,"Personal",0,28,15,"No",866.66,36,"SC","Alexander Ovechkin","NHL","Washington Capitals",2023,70000,"Health","D","Public","Specialty","No",2e+05,2,2,0.051814744,0.031775651,0.78177688,FALSE,72.82859032,"Alice",13,"M",1202.4125,2,0.3,"Yes","No","Yes",95.27,2,"Digital",2164.3425,0.622695035,0.377304965,0.87,0.036,"DCArea"
1,"Personal",0,53,15,"Yes",675.95,32,"SC","Ryan Leonard","NHL","Washington Capitals",2020,70000,"Gov","M","Car","Soda","No",1150000,2,2,0.03688365,0.147238698,0.729831871,FALSE,57,"Other",10,"M",1689.875,1,0.23,"Yes","Yes","No",0,5,"Digital",2365.825,0.528368794,0.471631206,0.91,0.074,"DCArea"
1,"Personal",0,98,60,"Yes",994.1,32,"HS","Anthony Beauvillier","Other","Washington Capitals",1999,140000,"Gov","M","Car","Hot Dog","No",1250000,0,2,0.102793,0.091518105,0.852852853,FALSE,64,"Emma",13,"M",0,3,0.24,"No","No","Yes",902.96,26,"Digital",1897.06,0.955319149,0.044680851,0.89,0.098,"DCArea"
1,"Personal",0,98,0,"Yes",1206.76,2,"BD","John Carlson","NHL","Washington Capitals",2015,80000,"Tech","M","Public","Beer","No",1350000,1,4,0.064007886,0.015117768,0.974699782,FALSE,74.31948496,"Other",13,"M",0,4,0,"No","No","Yes",0,10,"Digital",1206.76,0.395035461,0.604964539,0.94,0.013,"DCArea"
1,"Personal",0,38,15,"Yes",969.92,35,"SC","Charlie Lindgren","NHL","Washington Capitals",2018,90000,"Tech","M","Other","Hot Dog","No",50000,4,2,0.049706297,0.032829203,0.711422244,FALSE,65,"David",16,"M",1216.28,1,0.3,"No","Yes","No",246.36,7,"Digital",2432.56,0.379432624,0.620567376,0.71,0.03,"DCArea"
0,"Personal",0,67,45,"Yes",949.73,136,"AD","Alexander Ovechkin","NHL","Washington Capitals",2000,75000,"Gov","D","Car","Popcorn","No",1e+06,0,4,0.000240712,0.144803987,0.032277947,FALSE,64,"David",13,"M",500,3,0.18,"No","No","No",867.98,25,"Physical",2317.71,0.862411348,0.137588652,0.74,0.074,"Midwest"
1,"Business",0,75,60,"Yes",1348.18,1,"BD","Dylan Strome","NHL","Washington Capitals",2015,120000,"Tech","M","Car","Burger","No",2950000,3,4,1,0,0.766458305,FALSE,72,"David",19,"M",500,3,0.36,"No","No","No",358.5,10,"Digital",2206.68,0.70141844,0.29858156,0.47,0.265,"DCArea"
1,"Shared",0,91,30,"Yes",876.27,120,"HS","T.J. Oshie","NHL","Philadelphia Flyers",1979,55000,"Tech","M","Uber/Taxi","Peanuts","No",2e+06,0,2,0.012736602,0.058881581,0.110695814,FALSE,48,"Frank",17.5,"M",500,3,0.12,"Yes","No","No",1594.07,46,"Digital",2970.34,0.858865248,0.141134752,0.95,0.112,"Northeast"
1,"Personal",0,25,60,"No",1259.24,32,"BD","Sonny Milano","NHL","Washington Capitals",2018,85000,"Tech","M","Public","Popcorn","No",1300000,0,4,0.206707079,0.087163977,0.655032539,FALSE,43,"David",10,"M",0,5,0,"No","No","No",0,7,"Digital",1259.24,0.725531915,0.274468085,0.88,0.197,"DCArea"
1,"Personal",0,28,30,"Yes",899.57,32,"AD","Lars Eller","NHL","Washington Capitals",2017,95000,"Health","D","Car","Beer","No",350000,1,4,0.077981232,0.025234499,0.751534752,FALSE,54,"Ivy",10,"F",500,7,0.57,"No","No","No",290.02,8,"Digital",1689.59,0.141843972,0.858156028,0.4,0.048,"DCArea"
1,"Personal",0,47,30,"Yes",1265.51,39,"HS","Alexander Ovechkin","NHL","Washington Capitals",2009,60000,"Tech","M","Car","Peanuts","No",1e+06,1,4,0,0.3,0.76,FALSE,55,"David",13,"M",0,1,0.31,"No","No","No",0,16,"Digital",1265.51,0.681560284,0.318439716,0.65,0.047,"DCArea"
1,"Personal",0,68,30,"Yes",1286.86,32,"MD","Dylan Strome","NHL","Washington Capitals",2021,135000,"Edu","M","Car","Hot Dog","No",2200000,1,4,0.018656262,0.020532312,0.76144807,FALSE,48,"Alice",13,"M",1448.21,2,0.29,"No","No","Yes",161.35,4,"Digital",2896.42,0.64751773,0.35248227,0.93,0.041,"DCArea"
1,"Personal",0,29,-30,"Yes",629.67,240,"HS","Brandon Duhaime","NHL","Washington Capitals",2016,75000,"Tech","M","Car","Beer","No",5e+05,4,2,0.017233531,0.030984815,0.107313196,FALSE,75,"Grace",6,"M",500,6,0.22,"Yes","No","No",0,9,"Digital",1129.67,0.820567376,0.179432624,0.49,0.04,"South"
1,"Personal",0,80,45,"No",1178.22,189,"AD","T.J. Oshie","NHL","New Jersey Devils",2025,90000,"Tech","M","Car","Soda","No",1e+06,3,4,1,0,0.81001007,FALSE,48.38193219,"Ivy",11.5,"M",500,2,0.43,"Yes","No","No",98.41,1,"Digital",1776.63,0.494326241,0.505673759,0.29,0.248,"Northeast"
1,"Personal",0,67,30,"Yes",762.77,120,"HS","Alexander Ovechkin","NHL","Philadelphia Flyers",2014,80000,"Tech","D","Car","Burger","No",1e+06,0,2,1,0,0.702417711,TRUE,36,"Other",13,"M",2248.125,2,0.18,"Yes","No","No",136.48,4,"Digital",3147.375,0.841843972,0.158156028,0.99,0.352,"Northeast"
1,"Business",0,29,45,"Yes",2707.3,32,"HS","Anthony Beauvillier","NHL","Washington Capitals",2024,70000,"Gov","M","Public","Popcorn","No",8e+05,3,8,0.009324809,0.024346475,0.964999179,FALSE,72,"Alice",20,"M",500,1,0.28,"No","Yes","No",131.37,1,"Digital",3338.67,0.695744681,0.304255319,0.45,0.072,"DCArea"
1,"Shared",0,52,30,"Yes",823.89,85,"BD","Tom Wilson","NHL","Washington Capitals",2018,140000,"Tech","M","Car","Hot Dog","No",550000,4,2,0.240646195,0.331010909,0.751352386,FALSE,47,"Frank",7.5,"M",1029.8625,3,0.31,"No","No","Yes",0,6,"Digital",1853.7525,0.868794326,0.131205674,0.91,0.353,"South"
1,"Personal",0,76,-30,"Yes",994.31,32,"MD","T.J. Oshie","NHL","Washington Capitals",2013,105000,"Gov","M","Public","Soda","No",3350000,0,2,0.171035208,0.01,0.844434502,FALSE,55,"David",14,"M",500,2,0.19,"No","No","No",418.99,12,"Digital",1913.3,0.707092199,0.292907801,0.84,0.108,"DCArea"
1,"Shared",0,66,-15,"Yes",989.15,135,"AD","Dylan Strome","NHL","Philadelphia Flyers",2004,150000,"Finance","S","Public","Popcorn","No",5e+05,0,2,0.303572398,0.036367643,0.043708136,FALSE,47,"David",24,"M",0,3,0.39,"No","No","Yes",3331.11,21,"Physical",4320.26,0.739007092,0.260992908,0.83,0.163,"Northeast"
0,"Business",0,25,15,"Yes",1819.51,85,"BD","Nic Dowd","NHL","Washington Capitals",2023,60000,"Finance","M","Car","Soda","No",950000,3,8,0.015481594,0.047601799,0.141114808,FALSE,72,"Grace",19,"M",2454.7875,1,0.44,"Yes","No","No",144.32,2,"Digital",4418.6175,0.868794326,0.131205674,0.66,0.089,"West"
1,"Personal",0,27,30,"Yes",997.39,1,"AD","Alexander Ovechkin","NHL","Washington Capitals",2023,50000,"Tech","S","Car","Soda","No",8e+05,3,4,0.12586663,0.356009706,0.724338528,FALSE,69,"Ivy",10,"M",1386.925,4,0.3,"Yes","No","No",112.15,2,"Digital",2496.465,0.897163121,0.102836879,0.51,0.065,"DCArea"
1,"Personal",0,67,45,"No",963.25,37,"BD","John Carlson","NHL","Washington Capitals",2024,85000,"Gov","S","Uber/Taxi","Hot Dog","No",5e+05,1,2,0.213069784,0.281248525,0.720239347,FALSE,78,"Alice",14,"M",1303.0375,1,0.24,"No","No","No",79.18,1,"Digital",2345.4675,0.4,0.6,0.56,0.208,"DCArea"
1,"Business",0,72,45,"Yes",933.36,38,"BD","Alexander Ovechkin","Other","Washington Capitals",2010,120000,"Tech","M","Uber/Taxi","Beer","No",1950000,0,4,0.097824528,0.131809642,0.437731935,FALSE,71,"Emma",7,"M",0,1,0.5,"No","No","No",525.78,15,"Digital",1459.14,0.786524823,0.213475177,0.77,0.198,"DCArea"
1,"Personal",0,60,60,"No",998.19,80,"MD","Connor McMichael","NHL","Philadelphia Flyers",2017,90000,"Gov","D","Uber/Taxi","Popcorn","No",1400000,1,2,0.004642967,0.358348415,0.73,FALSE,77,"Frank",15,"M",1600.1625,2,0,"No","No","No",281.94,8,"Digital",2880.2925,0.656737589,0.343262411,0.69,0.111,"South"
1,"Personal",0,20,15,"No",999.84,3,"HS","Dylan McIlrath","Other","Washington Capitals",2025,65000,"Finance","M","Car","Specialty","No",1100000,1,2,0.084411189,0.19702006,0.965097591,FALSE,26,"Alice",10,"M",500,2,0,"Yes","No","Yes",65.69,1,"Digital",1565.53,0.410638298,0.589361702,0.72,0.199,"DCArea"
1,"Business",0,41,45,"Yes",1399.1,2,"HS","Tom Wilson","NHL","Washington Capitals",2010,120000,"Finance","M","Uber/Taxi","Peanuts","No",1e+06,2,4,1,0,0.88,FALSE,62,"Other",25,"M",0,2,0.09,"Yes","No","Yes",2641.23,15,"Digital",4040.33,0.34964539,0.65035461,0.53,0.308,"DCArea"
0,"Business",0,38,30,"Yes",1211.82,132,"SC","T.J. Oshie","Other","Washington Capitals",2023,140000,"Gov","S","Public","Hot Dog","No",1800000,3,4,0.009302932,0.027800558,0.041861289,FALSE,59,"Alice",14,"F",1514.775,2,0,"Yes","No","No",0,2,"Digital",2726.595,0.510638298,0.489361702,0.45,0.076,"Midwest"
1,"Business",0,52,0,"Yes",1430.91,3,"HS","Alexander Ovechkin","NHL","Washington Capitals",2005,1e+05,"Finance","M","Car","Beer","No",1300000,4,4,0.128503562,0.221450643,0.667702304,FALSE,58,"David",19,"M",0,3,0.2,"Yes","Yes","Yes",699.43,20,"Digital",2130.34,0.739716312,0.260283688,0.68,0.094,"DCArea"
0,"Personal",0,29,15,"Yes",703.83,132,"BD","Sonny Milano","NHL","Other",2024,85000,"Gov","M","Other","Soda","No",650000,1,2,0.017142536,0.068577121,0.199416109,FALSE,780,"Alice",7,"M",936.725,1,0.24,"No","No","Yes",45.55,1,"Digital",1686.105,0.709929078,0.290070922,0.95,0.075,"West"
1,"Personal",0,65,30,"Yes",908.22,32,"PHD","Sonny Milano","Other","Washington Capitals",1983,180000,"Gov","M","Uber/Taxi","Beer","No",1200000,0,2,0.142147866,0.288486434,0.92,FALSE,63,"David",10,"M",0,4,0.32,"No","No","No",0,42,"Digital",908.22,0.963829787,0.036170213,0.87,0.086,"DCArea"
1,"Shared",0,89,45,"Yes",903.21,32,"BD","Alexander Ovechkin","NHL","Washington Capitals",1999,40000,"Gov","S","Uber/Taxi","Popcorn","No",1100000,0,2,0.175466794,0.077087219,0.83,FALSE,39,"Frank",22.5,"F",1729.42,4,0.12,"No","Yes","Yes",826.21,26,"Digital",3458.84,0.34893617,0.65106383,0.43,0.168,"DCArea"
0,"Personal",0,84,45,"Yes",788.46,85,"HS","Alexander Ovechkin","NHL","Washington Capitals",1992,65000,"Gov","M","Car","Beer","No",1450000,2,2,0.042567865,0.06376308,0.008445466,FALSE,77,"David",16,"M",500,0,0,"No","No","No",1143.74,33,"Digital",2432.2,0.780851064,0.219148936,0.9,0.086,"Midwest"
1,"Personal",0,29,30,"No",697.73,37,"BD","Trevor van Riemsdyk","NHL","Washington Capitals",2019,75000,"Tech","M","Car","Beer","No",950000,2,2,0.074975564,0.231522187,0.604466525,FALSE,25,"Ivy",12,"F",1131.8625,3,0.12,"No","No","No",207.76,6,"Digital",2037.3525,0.568085106,0.431914894,0.65,0.057,"DCArea"
1,"Personal",0,51,45,"Yes",1362.97,2,"HS","Tom Wilson","NHL","Washington Capitals",1997,170000,"Tech","M","Car","Specialty","No",1900000,8,4,0.140180774,0.099770028,0.834405885,FALSE,54,"Emma",20,"M",1168.335,4,0.41,"No","No","Yes",973.7,28,"Digital",3505.005,0.714184397,0.285815603,0.84,0.189,"DCArea"
1,"Personal",0,29,-30,"Yes",935,40,"BD","Tom Wilson","NHL","Washington Capitals",2024,55000,"Gov","D","Uber/Taxi","Beer","No",150000,1,2,0.163253287,0.165554656,0.655885251,FALSE,61.45868222,"Alice",7.5,"M",0,1,0.19,"Yes","Yes","No",71.87,1,"Digital",1006.87,0.409929078,0.590070922,0.57,0.274,"DCArea"
0,"Personal",0,42,30,"Yes",925.19,85,"BD","Nicklas Backstrom","NHL","Other",2022,80000,"Gov","M","Uber/Taxi","Other","No",1200000,3,4,0.029176025,0.015495597,0.142671049,FALSE,47,"Ivy",4,"M",500,1,0.15,"Yes","No","No",114.92,3,"Digital",1540.11,0.821985816,0.178014184,0.42,0.042,"Midwest"
1,"Personal",0,19,-30,"Yes",736.1,32,"BD","Martin Fehervary","NHL","Washington Capitals",2024,125000,"Manufact","M","Public","Soda","No",2e+05,0,2,0.012197285,0.248057604,0.888858439,FALSE,72.94586625,"Ivy",4.5,"M",500,1,0.25,"No","No","No",79.76,1,"Digital",1315.86,0.546808511,0.453191489,0.85,0.101,"DCArea"
1,"Personal",0,99,30,"Yes",889.26,32,"HS","Tom Wilson","Other","Washington Capitals",2025,120000,"Tech","M","Public","Popcorn","No",3750000,0,2,0.021743135,0.028276904,0.611905194,FALSE,75.67103766,"Alice",10,"M",500,1,0.15,"No","No","No",74.8,1,"Digital",1464.06,0.954716312,0.045283688,0.99,0.118,"DCArea"
1,"Personal",0,83,30,"Yes",928.8,32,"HS","Alexander Ovechkin","NHL","Washington Capitals",2006,95000,"Tech","M","Other","Beer","No",1250000,2,2,0.25578077,0.025318727,0.615236759,FALSE,71,"David",8.5,"M",0,1,0.35,"No","No","No",661.1,19,"Digital",1589.9,0.644680851,0.355319149,0.77,0.312,"DCArea"
1,"Shared",0,57,30,"No",977.36,85,"BD","Sonny Milano","NHL","New Jersey Devils",2017,80000,"Finance","M","Uber/Taxi","Specialty","No",350000,1,4,0.061929671,0.027741327,0.76,TRUE,76.28267555,"Grace",7,"M",500,1,0.23,"No","No","Yes",126.14,3,"Digital",1603.5,0.294326241,0.705673759,0.66,0.102,"South"
1,"Personal",0,92,30,"Yes",1248.27,54,"BD","Ryan Leonard","NHL","Washington Capitals",1995,60000,"Gov","M","Uber/Taxi","Popcorn","No",950000,1,4,0.017186708,0.224582918,0.866242297,FALSE,77,"Frank",15,"M",1248.27,2,0,"No","No","No",0,30,"Digital",2496.54,0.887234043,0.112765957,1,0.097,"DCArea"
1,"Shared",0,28,45,"No",961.28,132,"AD","John Carlson","Other","Philadelphia Flyers",2019,105000,"Tech","S","Car","Soda","No",7e+05,0,4,0.09755591,0.101349465,0.651489395,TRUE,52.6188932,"Ivy",10,"M",1324.6875,3,0.52,"No","Yes","No",98.47,1,"Digital",2384.4375,0.605673759,0.394326241,0.56,0.089,"Northeast"
1,"Personal",0,90,45,"Yes",1289.95,259,"PHD","Martin Fehervary","NHL","Other",1984,150000,"Gov","S","Public","Soda","No",1650000,0,4,0.003909915,0.010445546,0.058087198,FALSE,70,"David",21,"M",500,4,0.21,"No","Yes","Yes",1300.05,41,"Physical",3090,0.628368794,0.371631206,0.89,0.014,"South"
