"Y01","Account_Type","Additional_Seats","Age","Arrival_Time","Auto_Renew_STH","Concession_Total","Cust_ID","DistA","Educational_Level","Favorite_Caps_Player","Favorite_Sport","Favorite_Team","First_Year_STH","HouseHold_Income_True","ID","Job_Sector","Last_Contact","Marital","Mode_Of_Transport","Most_Purch_Concession","Mult_Loc","Net_Worth_True","Num_Children","NumSeats","PerSold","PerTransf","PerUsed","Rejoined_STH","Rep_Calls","Rep_Name","Rep_Visits","Seating_Location","Sex","Spent_Other_Teams","State_Name","STH_Attended","Survey_Comp","Team_B_STH","Team_C_STH","Team_Network_Sub","Team_Store_Total","Tenure","Ticket_Form","Total_Spent","Weekday_Attended","Weekday_Sold","Weekend_Attended","Weekend_Sold","Zip_Codes","Contact_Year","Contact_Month","Contact_Day","Contact_Weekday","Contact_Hour","Marital_Original","Region","Flag_Tenure_High","Flag_Survey_Invalid"
1,"Personal",0,61,30,"Yes",858.7,101660200,NA,NA,NA,NA,"Washington Capitals",1984,NA,15,NA,2018-03-16 02:33:52.167124,"M",NA,"Hot Dog","No",NA,0,2,0.180702858,0.049893732,0.93,FALSE,44,"David",13,"Suite","M",1073.375,"Maryland",2,0,NA,NA,"No",0,41,"Digital",1932.075,0.484397163,0.515602837,0.63,0.165,21210,2018,3,16,"Fri",2,"M","DCArea",0,0
0,"Personal",0,73,45,"Yes",965.53,101797391,NA,"BD","T.J. Oshie","Other","Washington Capitals",2015,115000,16,"Tech",2019-06-12 21:09:14.656195,"D","Public","Beer","No",1700000,0,4,0.076009335,0.019020618,0.096681426,TRUE,73.47983201,"Grace",NA,"407","F",1445.1875,"Kansas",1,0,"Yes","No","No",190.62,5,"Digital",2601.3375,0.773049645,0.226950355,0.6,0.189,66108,2019,6,12,"Wed",21,"D","Midwest",0,0
1,"Personal",0,27,-15,"Yes",589.86,101871920,215,NA,NA,NA,"Other",2024,NA,17,NA,2020-09-10 00:12:24.151466,"M",NA,"Beer","No",6e+05,0,2,0.020331006,0.149001559,0.641010174,FALSE,70.88308581,"Grace",5,"424","M",500,"North Carolina",1,0.42,NA,NA,"No",73.48,1,"Digital",1163.34,0.956737589,0.043262411,0.97,0,27503,2020,9,10,"Thu",0,"M","South",0,0
1,"Personal",0,69,30,"Yes",790.81,102218908,NA,NA,NA,NA,"Washington Capitals",1989,NA,18,NA,2019-11-14 05:09:45.37992,"S",NA,"Burger","No",NA,0,2,0.057690425,0.043093637,0.102362233,FALSE,77,NA,12,"104","M",0,"West Virginia",3,0.42,NA,NA,"Yes",1141.2,36,"Digital",1932.01,0.608510638,0.391489362,0.72,0.117,25304,2019,11,14,"Thu",5,"S","South",0,0
1,"Personal",0,51,30,"Yes",1278.63,102256293,251,NA,NA,NA,"Washington Capitals",2011,NA,19,NA,2022-07-29 03:43:07.791476,"U",NA,"Hot Dog","No",NA,1,4,0.145126297,0.093309714,0.100549378,FALSE,74,"Emma",12.5,"224","M",0,"West Virginia",5,0.16,NA,NA,"No",493.01,14,"Digital",1771.64,0.809929078,0.190070922,0.88,0.04,25304,2022,7,29,"Fri",3,"U","South",0,0
1,"Personal",0,50,60,"Yes",911.57,102271597,54,"BD","T.J. Oshie","NHL","Washington Capitals",2011,NA,20,"Finance",2018-04-15 12:03:35.934697,"M","Car","Beer","No",2050000,3,4,0,0.3,0.95,FALSE,37.51449005,"David",17,"404","M",1758,"Virginia",2,0.19,"No","No","No",494.83,14,"Digital",3164.4,0.908510638,0.091489362,0.6,0.071,20106,2018,4,15,"Sun",12,"M","DCArea",0,0
1,"Personal",0,NA,45,"Yes",806.83,102298239,35,NA,NA,NA,"Washington Capitals",2020,NA,21,NA,2021-05-07 15:11:34.632543,"M",NA,"Specialty","No",1150000,1,2,0.019181098,0.032395748,0.696399192,FALSE,77,"Alice",11,"106","M",1228.2875,"Maryland",0,0.64,NA,NA,"No",175.8,5,"Physical",2210.9175,0.868794326,0.131205674,0.91,0.079,21207,2021,5,7,"Fri",15,"M","DCArea",0,0
1,"Personal",0,NA,60,"Yes",1011.89,102524041,32,NA,NA,NA,"Washington Capitals",1995,90000,22,NA,2022-04-05 17:47:03.840722,"M",NA,"Hot Dog","No",NA,0,2,0,0.3,0.628654353,FALSE,25,"David",NA,"Club","M",500,"Virginia",2,0.11,NA,NA,"Yes",5197.5,30,"Digital",6709.39,0.609219858,0.390780142,0.37,0.086,20103,2022,4,5,"Tue",17,"M","DCArea",0,0
1,"Personal",0,34,30,"Yes",991.5,102554741,35,"SC","Alexander Ovechkin","NHL","Washington Capitals",2018,NA,23,"Finance",2020-06-10 04:45:35.125264,NA,"Public","Soda","No",NA,1,2,0.036607717,0.01534426,0.965506654,TRUE,53,"Alice",10,"105","M",500,"Maryland",1,0,"Yes","No","Yes",76.62,1,"Digital",1568.12,0.526950355,0.473049645,0.98,0.069,21207,2020,6,10,"Wed",4,NA,"DCArea",0,0
0,"Personal",0,66,45,"No",795.35,102737477,NA,NA,NA,NA,"Other",2022,120000,24,NA,2021-09-22 13:45:27.832626,"U",NA,"Popcorn","No",2450000,0,2,0.061978724,0.01,0.193035553,FALSE,45.82898477,"Other",8,"102","M",1109.325,"Ohio",5,0,NA,NA,"Yes",92.11,3,"Digital",1996.785,0.95035461,0.04964539,1,0.053,44104,2021,9,22,"Wed",13,"U","Midwest",0,0
0,"Personal",0,51,45,"Yes",835.15,102823010,NA,NA,NA,NA,"Other",2020,NA,25,NA,2021-08-26 05:34:14.843605,"M",NA,"Burger","No",1600000,2,2,0.082143975,0.044551883,0.166872269,TRUE,27,"Alice",8,"Suite","M",500,"Wyoming",2,0.39,NA,NA,"No",0,1,"Digital",1335.15,0.633333333,0.366666667,0.98,0.087,82003,2021,8,26,"Thu",5,"M","West",0,0
1,"Business",0,20,30,"Yes",1085.25,102840895,3,NA,NA,NA,"Washington Capitals",2024,85000,26,NA,2020-06-04 14:27:53.962147,"M",NA,"Burger","No",NA,0,4,0.135427347,0.013385862,0.655801554,FALSE,60,"Alice",8.5,"207","M",0,"District of Columbia",2,0.31,NA,NA,"No",96.27,1,"Digital",1181.52,0.535460993,0.464539007,0.51,0.117,20007,2020,6,4,"Thu",14,"M","DCArea",0,0
1,"Shared",0,73,15,"Yes",931.29,102959282,39,"AD","Alexander Ovechkin","NHL","Washington Capitals",2008,120000,27,"Finance",2021-07-20 12:32:57.88893,"D","Public","Specialty","No",NA,0,4,0.055029329,0.01,0.458062778,FALSE,41,"Frank",15,"410","M",1906.8125,"Maryland",5,0,"No","No","No",594.16,17,"Digital",3432.2625,0.604255319,0.395744681,0.43,0.049,21212,2021,7,20,"Tue",12,"D","DCArea",0,0
1,"Personal",0,57,60,"No",781.28,103046203,40,"SC","John Carlson","NHL","Washington Capitals",2021,NA,28,"Gov",2022-08-13 01:53:21.168843,"D","Car","Burger","No",NA,2,2,0.008917572,0.172528657,0.832874145,FALSE,61,"Grace",13,"417","M",1476.6,"Maryland",1,0.3,"No","No","No",0,4,"Digital",2257.88,0.239716312,0.760283688,0.62,0.013,21206,2022,8,13,"Sat",1,"D","DCArea",0,0
0,"Personal",0,64,30,"Yes",1315.77,103144854,NA,"AD","Alexander Ovechkin","NHL","Other",2010,NA,29,"Finance",2023-10-17 11:12:52.195523,NA,"Uber/Taxi","Popcorn","No",1500000,2,4,0.139880517,0.034853278,0.152015,FALSE,42,"David",19,"Club","M",1644.7125,"Illinois",1,0,"Yes","No","Yes",0,15,"Digital",2960.4825,0.85177305,0.14822695,0.9,0.009,60604,2023,10,17,"Tue",11,NA,"Midwest",0,0
1,"Personal",0,NA,0,"Yes",624.06,103583633,NA,NA,NA,NA,"New Jersey Devils",1992,NA,30,NA,2018-10-30 21:39:28.477296,"M",NA,"Burger","No",NA,0,2,0.099977246,0.003,0.106268818,FALSE,NA,"Emma",20,"426","M",2210.075,"New Jersey",4,0.23,NA,NA,"No",1144,33,"Digital",3978.135,0.812056738,0.187943262,0.96,0.101,7002,2018,10,30,"Tue",21,"M","Northeast",0,0
0,"Personal",0,55,30,"Yes",821.3,103589475,NA,NA,NA,NA,"Other",2018,NA,31,NA,2024-06-23 02:31:56.908727,"M",NA,"Specialty","No",1900000,2,2,0.141214945,0.025565895,0.159921268,FALSE,73.98747021,"Frank",6.5,"220","M",0,"South Carolina",0,0,NA,NA,"No",239.11,7,"Digital",1060.41,0.410638298,0.589361702,0.12,0.093,29207,2024,6,23,"Sun",2,"M","South",0,0
1,"Personal",0,69,15,"Yes",1074.74,103721889,85,NA,NA,NA,"Washington Capitals",2003,NA,32,NA,2018-06-01 13:18:11.505332,NA,NA,"Soda","No",NA,0,4,0.013602594,0.048645075,1,FALSE,51.05716596,"David",27,"431","M",500,"Delaware",2,0,NA,NA,"No",3850.08,22,"Digital",5424.82,0.535460993,0.464539007,0.66,0.067,19901,2018,6,1,"Fri",13,NA,"South",0,0
1,"Personal",0,28,15,"No",866.66,103927049,36,"SC","Alexander Ovechkin","NHL","Washington Capitals",2023,NA,33,"Health",2019-05-08 22:23:28.66193,"D","Public","Specialty","No",2e+05,2,2,0.051814744,0.031775651,0.78177688,FALSE,72.82859032,"Alice",NA,"114","M",1202.4125,"Maryland",2,0.3,"Yes","No","Yes",95.27,2,"Digital",2164.3425,0.622695035,0.377304965,0.87,0.036,21202,2019,5,8,"Wed",22,"D","DCArea",0,0
1,"Personal",0,53,15,"Yes",675.95,103930563,32,"SC","Ryan Leonard","NHL","Washington Capitals",2020,70000,34,"Gov",2019-09-03 05:44:13.087413,"M","Car","Soda","No",NA,2,2,0.03688365,0.147238698,0.729831871,FALSE,57,"Other",10,"405","M",1689.875,"Virginia",1,0.23,"Yes","Yes","No",0,5,"Digital",2365.825,0.528368794,0.471631206,0.91,0.074,20101,2019,9,3,"Tue",5,"M","DCArea",0,0
1,"Personal",0,98,60,"Yes",994.1,103967741,NA,NA,NA,NA,"Washington Capitals",1999,140000,35,NA,2021-05-31 16:50:05.28097,NA,NA,"Hot Dog","No",NA,0,2,0.102793,0.091518105,0.852852853,FALSE,64,"Emma",13,"Club","M",0,"District of Columbia",3,0.24,NA,NA,"Yes",902.96,26,"Digital",1897.06,0.955319149,0.044680851,0.89,0.098,20004,2021,5,31,"Mon",16,NA,"DCArea",0,0
1,"Personal",0,98,0,"Yes",1206.76,104110480,2,NA,NA,NA,"Washington Capitals",2015,80000,36,NA,2020-06-21 01:46:44.003345,"M",NA,"Beer","No",NA,1,4,0.064007886,0.015117768,0.974699782,FALSE,74.31948496,"Other",13,"112","M",0,"District of Columbia",4,0,NA,NA,"Yes",0,10,"Digital",1206.76,0.395035461,0.604964539,0.94,0.013,20009,2020,6,21,"Sun",1,"M","DCArea",0,0
1,"Personal",0,38,15,"Yes",969.92,104178581,35,"SC","Charlie Lindgren","NHL","Washington Capitals",2018,NA,37,"Tech",2019-06-13 11:26:55.712312,"M","Other","Hot Dog","No",NA,4,2,0.049706297,0.032829203,0.711422244,FALSE,65,"David",16,"Club","M",1216.28,"Maryland",1,0.3,"No","Yes","No",246.36,7,"Digital",2432.56,0.379432624,0.620567376,0.71,0.03,21201,2019,6,13,"Thu",11,"M","DCArea",0,0
0,"Personal",0,67,45,"Yes",949.73,104371493,NA,NA,NA,NA,"Washington Capitals",2000,NA,38,NA,2022-04-28 01:13:52.82665,"D",NA,"Popcorn","No",NA,0,4,0.000240712,0.144803987,0.032277947,FALSE,NA,"David",13,"423","M",500,"Kansas",3,0.18,NA,NA,"No",867.98,25,"Physical",2317.71,0.862411348,0.137588652,0.74,0.074,66105,2022,4,28,"Thu",1,"D","Midwest",0,0
1,"Business",0,75,60,"Yes",1348.18,104462212,1,NA,NA,NA,"Washington Capitals",2015,120000,39,NA,2019-02-02 03:18:56.184845,"M",NA,"Burger","No",2950000,3,4,1,0,0.766458305,FALSE,72,"David",19,"Club","M",500,"District of Columbia",3,0.36,NA,NA,"No",358.5,10,"Digital",2206.68,0.70141844,0.29858156,0.47,0.265,20006,2019,2,2,"Sat",3,"M","DCArea",0,0
1,"Shared",0,91,30,"Yes",876.27,104499177,120,NA,NA,NA,"Philadelphia Flyers",1979,NA,40,NA,2024-01-07 06:50:46.547647,"M",NA,"Peanuts","No",2e+06,0,2,0.012736602,0.058881581,0.110695814,FALSE,48,"Frank",17.5,"218","M",500,"Pennsylvania",3,0.12,NA,NA,"No",1594.07,46,"Digital",2970.34,0.858865248,0.141134752,0.95,0.112,19003,2024,1,7,"Sun",6,"M","Northeast",0,0
1,"Personal",0,25,60,"No",1259.24,104520897,32,NA,NA,NA,"Washington Capitals",2018,NA,41,NA,2020-02-08 22:16:49.275924,NA,NA,"Popcorn","No",NA,0,4,0.206707079,0.087163977,0.655032539,FALSE,43,NA,10,"Club","M",0,"Virginia",5,0,NA,NA,"No",0,7,"Digital",1259.24,0.725531915,0.274468085,0.88,0.197,20103,2020,2,8,"Sat",22,NA,"DCArea",0,0
1,"Personal",0,28,30,"Yes",899.57,104539305,32,NA,NA,NA,"Washington Capitals",2017,NA,42,NA,2021-01-31 07:15:29.391405,"D",NA,"Beer","No",NA,1,4,0.077981232,0.025234499,0.751534752,FALSE,54,"Ivy",10,"428","F",500,"Virginia",7,0.57,NA,NA,"No",290.02,8,"Digital",1689.59,0.141843972,0.858156028,0.4,0.048,20107,2021,1,31,"Sun",7,"D","DCArea",0,0
1,"Personal",0,47,30,"Yes",1265.51,104724785,39,"HS","Alexander Ovechkin","NHL","Washington Capitals",2009,60000,43,"Tech",2023-04-20 00:18:19.630246,"M","Car","Peanuts","No",NA,1,4,0,0.3,0.76,FALSE,55,"David",13,"Club","M",0,"Maryland",1,0.31,"No","No","No",0,16,"Digital",1265.51,0.681560284,0.318439716,0.65,0.047,21212,2023,4,20,"Thu",0,"M","DCArea",0,0
1,"Personal",0,68,30,"Yes",1286.86,104762159,32,NA,NA,NA,"Washington Capitals",2021,NA,44,NA,2023-08-22 03:57:06.692176,"M",NA,"Hot Dog","No",NA,1,4,0.018656262,0.020532312,0.76144807,FALSE,48,NA,NA,"Club","M",1448.21,"Virginia",2,0.29,NA,NA,"Yes",161.35,4,"Digital",2896.42,0.64751773,0.35248227,0.93,0.041,20103,2023,8,22,"Tue",3,"M","DCArea",0,0
1,"Personal",0,29,-30,"Yes",629.67,104782683,240,NA,NA,NA,"Washington Capitals",2016,NA,45,NA,2021-10-08 18:24:12.829034,"M",NA,"Beer","No",5e+05,4,2,0.017233531,0.030984815,0.107313196,FALSE,NA,"Grace",6,"412",NA,500,"West Virginia",6,0.22,NA,NA,"No",0,9,"Digital",1129.67,0.820567376,0.179432624,0.49,0.04,25306,2021,10,8,"Fri",18,"M","South",0,0
1,"Personal",0,80,45,"No",1178.22,104898784,189,NA,NA,NA,"New Jersey Devils",2025,90000,46,NA,2024-12-29 06:41:49.573574,"M",NA,"Soda","No",NA,3,4,1,0,0.81001007,FALSE,48.38193219,"Ivy",11.5,"222","M",500,"New Jersey",2,0.43,NA,NA,"No",98.41,1,"Digital",1776.63,0.494326241,0.505673759,0.29,0.248,7008,2024,12,29,"Sun",6,"M","Northeast",0,0
1,"Personal",0,67,30,"Yes",762.77,104967534,120,"HS","Alexander Ovechkin","NHL","Philadelphia Flyers",2014,NA,47,"Tech",2021-08-21 11:03:04.25001,NA,"Car","Burger","No",1e+06,0,2,1,0,0.702417711,TRUE,36,"Other",NA,"117","M",2248.125,"Pennsylvania",2,0.18,"Yes","No","No",136.48,4,"Digital",3147.375,0.841843972,0.158156028,0.99,0.352,19003,2021,8,21,"Sat",11,NA,"Northeast",0,0
1,"Business",0,29,45,"Yes",2707.3,104987948,32,NA,NA,NA,"Washington Capitals",2024,NA,48,NA,2023-01-26 22:17:06.635859,"M",NA,"Popcorn","No",NA,3,8,0.009324809,0.024346475,0.964999179,FALSE,72,"Alice",20,"Suite","M",500,"Virginia",1,0.28,NA,NA,"No",131.37,NA,"Digital",3338.67,0.695744681,0.304255319,0.45,0.072,20105,2023,1,26,"Thu",22,"M","DCArea",NA,0
1,"Shared",0,52,30,"Yes",823.89,105080426,85,NA,NA,NA,"Washington Capitals",2018,NA,49,NA,2022-07-16 04:00:42.202514,"M",NA,"Hot Dog","No",NA,4,2,0.240646195,0.331010909,0.751352386,FALSE,47,"Frank",7.5,"202","M",1029.8625,"Delaware",3,0.31,NA,NA,"Yes",0,NA,"Digital",1853.7525,0.868794326,0.131205674,0.91,0.353,19903,2022,7,16,"Sat",4,"M","South",NA,0
1,"Personal",0,76,-30,"Yes",994.31,105117446,32,NA,NA,NA,"Washington Capitals",2013,105000,50,NA,2021-04-06 06:37:29.344488,"M",NA,"Soda","No",NA,0,2,0.171035208,0.01,0.844434502,FALSE,55,"David",14,"Club","M",500,"Virginia",2,0.19,NA,NA,"No",418.99,12,"Digital",1913.3,0.707092199,0.292907801,0.84,0.108,20107,2021,4,6,"Tue",6,"M","DCArea",0,0
1,"Shared",0,66,-15,"Yes",989.15,105361211,135,NA,NA,NA,"Philadelphia Flyers",2004,NA,51,NA,2021-01-18 02:18:29.849958,"S",NA,"Popcorn","No",5e+05,0,2,0.303572398,0.036367643,0.043708136,FALSE,47,"David",24,"423","M",0,"Pennsylvania",3,0.39,NA,NA,"Yes",3331.11,21,"Physical",4320.26,0.739007092,0.260992908,0.83,0.163,19009,2021,1,18,"Mon",2,"S","Northeast",0,0
0,"Business",0,25,15,"Yes",1819.51,105401089,NA,"BD","Nic Dowd","NHL","Washington Capitals",2023,NA,52,"Finance",2022-08-08 03:56:05.913266,"M","Car","Soda","No",NA,3,8,0.015481594,0.047601799,0.141114808,FALSE,72,"Grace",19,"417","M",2454.7875,"Hawaii",1,0.44,"Yes","No","No",144.32,2,"Digital",4418.6175,0.868794326,0.131205674,0.66,0.089,96809,2022,8,8,"Mon",3,"M","West",0,0
1,"Personal",0,27,30,"Yes",997.39,105429372,1,NA,NA,NA,"Washington Capitals",2023,NA,53,NA,2020-10-17 11:40:57.860631,NA,NA,"Soda","No",8e+05,3,4,0.12586663,0.356009706,0.724338528,FALSE,NA,"Ivy",10,"416","M",1386.925,"District of Columbia",4,0.3,NA,NA,"No",112.15,2,"Digital",2496.465,0.897163121,0.102836879,0.51,0.065,20001,2020,10,17,"Sat",11,NA,"DCArea",0,0
1,"Personal",0,67,45,"No",963.25,105487945,37,"BD","John Carlson","NHL","Washington Capitals",2024,NA,54,"Gov",2022-09-11 19:09:11.679392,"S","Uber/Taxi","Hot Dog","No",5e+05,1,2,0.213069784,0.281248525,0.720239347,FALSE,78,"Alice",14,"Suite","M",1303.0375,"Maryland",1,0.24,"No","No","No",79.18,1,"Digital",2345.4675,0.4,0.6,0.56,0.208,21208,2022,9,11,"Sun",19,"S","DCArea",0,0
1,"Business",0,72,45,"Yes",933.36,105643831,38,NA,NA,NA,"Washington Capitals",2010,NA,55,NA,2019-09-22 03:47:31.862504,NA,NA,"Beer","No",NA,0,4,0.097824528,0.131809642,0.437731935,FALSE,71,"Emma",7,"426","M",0,"Maryland",1,0.5,NA,NA,"No",525.78,15,"Digital",1459.14,0.786524823,0.213475177,0.77,0.198,21210,2019,9,22,"Sun",3,NA,"DCArea",0,0
1,"Personal",0,60,60,"No",998.19,105650233,80,"MD","Connor McMichael","NHL","Philadelphia Flyers",2017,90000,56,"Gov",2024-07-11 21:27:33.997989,NA,"Uber/Taxi","Popcorn","No",1400000,1,2,0.004642967,0.358348415,0.73,FALSE,77,"Frank",15,"Club","M",1600.1625,"Delaware",2,0,"No","No","No",281.94,8,"Digital",2880.2925,0.656737589,0.343262411,0.69,0.111,19904,2024,7,11,"Thu",21,NA,"South",0,0
1,"Personal",0,20,15,"No",999.84,105714948,3,NA,NA,NA,"Washington Capitals",2025,NA,57,NA,2020-12-28 05:14:43.90745,"M",NA,"Specialty","No",1100000,1,2,0.084411189,0.19702006,0.965097591,FALSE,26,"Alice",10,"Club","M",500,"District of Columbia",2,0,NA,NA,"Yes",65.69,1,"Digital",1565.53,0.410638298,0.589361702,0.72,0.199,20007,2020,12,28,"Mon",5,"M","DCArea",0,0
1,"Business",0,41,45,"Yes",1399.1,105739046,NA,NA,NA,NA,"Washington Capitals",2010,120000,58,NA,2020-08-29 03:09:00.898334,"M",NA,"Peanuts","No",NA,2,4,1,0,0.88,FALSE,62,NA,25,"Club","M",0,"Virginia",2,0.09,NA,NA,"Yes",2641.23,15,"Digital",4040.33,0.34964539,0.65035461,0.53,0.308,20106,2020,8,29,"Sat",3,"M","DCArea",0,0
