Cust_ID,tenure,Rejoined_STH,DistA,PerUsed,PerTransf,PerSold,NumSeats,Mult_Loc,Sex,Educational_Level,Age,Marital,Job_Sector,Num_Children,State_Name,Mode_of_Transport,Favorite_Caps_Player,Favorite_Team,Favorite_Sport,UnempRate,InfRate,Survey_Comp,Team_Network_Sub,Rep_Name,STH_Attended,Rep_Calls,Rep_Visits,Arrival_Time,Team_B_STH,Team_C_STH,Total Spent,Net_Worth_True,HouseHold_Income_True,NHL_Team_Record,Playoffs,Last_Team_Championship,ticket_form,Weekday_Attended,Weekday_Sold,First_Year_STH,Weekend Attended,Weekend Sold,Additional_Seats,Seating_Location,Auto_Renew_STH,Account_Type,Y01
755591322,8,FALSE,2,0.871544995,0.014749888,0.01139796,8,No,NA,HS,NA,M,Health,1,District of Columbia,Uber/Taxi,Anthony Beauvillier,Washington Capitals,NHL,0.042,0.023,0.57,No,Jack,2,56,10,30,Yes,No,1755.51,NA,60000,51-22-9,Yes,2018,Digital,0.884397163,0.115602837,2017,0.54,0.04,0,428,Yes,Personal,1
230180449,4,FALSE,1,0.877922934,0.027690535,0.00510966,2,No,F,NA,37,M,NA,2,District of Columbia,NA,NA,Washington Capitals,NA,0.042,0.023,0,Yes,David,2,54,8,30,NA,NA,1545.43,1850000,135000,51-22-9,Yes,2018,Digital,0.882978723,0.117021277,2021,0.66,0.063,0,101,Yes,Personal,1
251574289,1,TRUE,32,0.85692547,0.091725319,0.187037388,4,No,M,SC,47,D,Gov,1,Virginia,Public,T.J. Oshie,Washington Capitals,NHL,0.042,0.023,0.03,No,Grace,1,45.64045405,10,30,No,No,2685.76,350000,85000,51-22-9,Yes,2018,Digital,0.503546099,0.496453901,2019,1,0.218,0,100,No,Personal,1
316230620,15,FALSE,80,0.347650673,0.060717825,0.186857102,2,No,M,NA,83,NA,NA,2,Delaware,NA,NA,Philadelphia Flyers,NA,0.042,0.023,0.1,No,Emma,2,71,17,30,NA,NA,3256.785,NA,NA,51-22-9,Yes,2018,Physical,0.964148936,0.035851064,2010,1,0.359,0,119,Yes,Personal,1
443664248,15,FALSE,85,0.83,0.028504647,0.00862377,2,No,M,NA,87,M,NA,0,Delaware,NA,NA,Buffalo Sabres,NA,0.042,0.023,0,No,David,2,39,8.5,30,NA,NA,1281.21,NA,85000,51-22-9,Yes,2018,Digital,0.690070922,0.309929078,2010,0.93,0.025,0,225,Yes,Personal,1
723392737,10,FALSE,999,0.020097701,0.098117985,0.184208195,2,No,M,NA,59,NA,NA,8,Arkansas,NA,NA,Washington Capitals,NA,0.042,0.023,0,Yes,Emma,1,69,10,15,NA,NA,1303.96,250000,NA,51-22-9,Yes,2018,Digital,0.595035461,0.404964539,2015,0.97,0.083,0,Club,Yes,Personal,0
942411800,49,FALSE,999,0.142760301,0.035326516,0.256897195,2,No,M,NA,71,M,NA,0,New Mexico,NA,NA,Washington Capitals,NA,0.042,0.023,0.22,No,Emma,1,63,15,30,NA,NA,2481.46,1100000,80000,51-22-9,Yes,2018,Digital,0.509929078,0.490070922,1976,0.82,0.032,0,Suite,Yes,Personal,1
247839026,4,FALSE,NA,0.88,0.084398438,0.10000092,4,No,NA,NA,74,S,NA,NA,West Virginia,NA,NA,Washington Capitals,NA,0.042,0.023,0,No,Charlie,2,74.97887291,8.5,15,NA,NA,1858,NA,95000,51-22-9,Yes,2018,Digital,0.506382979,0.493617021,2021,0.51,0.231,0,224,No,Shared,1
833410322,10,FALSE,999,0.065954201,0.006629883,0.079420699,2,No,M,NA,80,M,NA,1,Vermont,NA,NA,Boston Bruins,NA,0.042,0.023,0.09,Yes,Frank,2,55,11.5,45,NA,NA,1630.46,NA,NA,51-22-9,Yes,2018,Digital,0.79929078,0.20070922,2015,0.89,0.012,0,208,Yes,Personal,0
929837505,NA,TRUE,999,0.75,0.085410245,0.049440929,2,No,M,HS,NA,D,Finance,0,Ohio,Public,John Carlson,Columbus Blue Jackets,NHL,0.042,0.023,0.07,No,Alice,1,59.25447423,6,-30,Yes,No,874.23,NA,NA,51-22-9,Yes,2018,Digital,0.65248227,0.34751773,2017,0.7,0.048,0,102,Yes,Personal,0
378952019,2,FALSE,1,0.872557473,0.159737931,0.07286732,2,No,F,NA,21,M,NA,1,District of Columbia,NA,NA,Washington Capitals,NA,0.042,0.023,0.37,Yes,Grace,2,60,12,30,NA,NA,2100.33,7.00E+05,NA,51-22-9,Yes,2018,Digital,0.481560284,0.518439716,2023,0.67,0.054,0,Club,No,Business,1
716120750,NA,FALSE,120,0.853890545,0.372456959,0.266012075,2,No,NA,NA,33,M,NA,1,Pennsylvania,NA,NA,Philadelphia Flyers,NA,0.042,0.023,0.19,Yes,Grace,1,54.94047373,6,30,NA,NA,1481.82,NA,NA,51-22-9,Yes,2018,Digital,0.39787234,0.60212766,2024,0.75,0.371,0,112,No,Personal,1
349482498,5,TRUE,999,0.033828566,0.057324173,0.02648101,6,No,M,NA,31,M,NA,2,North Dakota,NA,NA,New York Islanders,NA,0.042,0.023,0.15,No,Emma,2,70,23,30,NA,NA,4522.72,NA,NA,51-22-9,Yes,2018,Digital,0.843262411,0.156737589,2014,0.87,0.184,0,Suite,Yes,Personal,0
683480486,23,FALSE,NA,0.139658779,0.016589696,0.001478137,4,No,M,NA,93,M,NA,1,Tennessee,NA,NA,Nashville Predators,NA,0.042,0.023,0.11,No,Emma,1,70,14,30,NA,NA,1733.96,NA,NA,51-22-9,Yes,2018,Digital,0.839007092,0.160992908,2002,0.98,0.009,0,Club,No,Personal,0
777639919,NA,FALSE,259,0.016954613,0.009044831,0.139357587,4,No,NA,NA,39,M,NA,0,West Virginia,NA,NA,Washington Capitals,NA,0.042,0.023,0.43,No,Frank,1,75,18.5,30,NA,NA,3160.035,NA,195000,51-22-9,Yes,2018,Digital,0.715602837,0.284397163,2019,0.87,0.021,0,201,Yes,Personal,1
923337729,21,FALSE,37,0.89,0.19516674,0.016681049,2,No,M,NA,87,M,NA,0,Maryland,NA,NA,Washington Capitals,NA,0.042,0.023,0,No,Emma,1,46,10,30,NA,NA,2013.4175,NA,NA,51-22-9,Yes,2018,Physical,0.518439716,0.481560284,2004,0.65,0.011,0,402,Yes,Personal,1
782964642,13,FALSE,35,0.482200157,0.176536377,0.058289057,4,No,M,NA,70,NA,NA,0,Maryland,NA,NA,Washington Capitals,NA,0.042,0.023,0.21,No,Emma,1,65,20,45,NA,NA,2861.3025,NA,75000,51-22-9,Yes,2018,Digital,0.80212766,0.19787234,2012,1,0.074,0,Club,Yes,Personal,1
826897818,2,FALSE,249,0.67231919,0.061622219,0.011613411,4,No,M,NA,99,M,NA,0,West Virginia,NA,NA,Washington Capitals,NA,0.042,0.023,5.2,Yes,Alice,1,NA,10.5,15,NA,NA,2328.435,NA,NA,51-22-9,Yes,2018,Digital,0.546808511,0.453191489,2023,0.95,0.02,0,207,Yes,Personal,0
511754595,14,FALSE,NA,0.097765859,0.027743392,0.061339226,4,No,M,MD,51,M,Tech,3,Minnesota,Public,Nicklas Backstrom,Minnesota Wild,NHL,0.042,0.023,0.27,No,Frank,3,68,15,30,No,Yes,1830.61,NA,75000,51-22-9,Yes,2018,Digital,0.623404255,0.376595745,2011,0.77,0.117,0,Club,Yes,Personal,0
141385620,18,FALSE,NA,0.117445059,0.004054659,0.163844655,2,No,M,NA,62,NA,NA,1,Pennsylvania,NA,NA,Philadelphia Flyers,NA,0.042,0.023,0.36,Yes,Emma,2,66,19,30,NA,NA,3986.93,NA,NA,51-22-9,Yes,2018,Digital,0.785106383,0.214893617,2007,0.89,0.067,0,Club,Yes,Personal,1
449812082,10,FALSE,32,0.642910321,0.295384875,0.062089296,2,No,F,NA,NA,S,NA,NA,Virginia,NA,NA,Washington Capitals,NA,0.042,0.023,0.49,No,Emma,3,57,14.5,30,NA,NA,2438.9775,8.00E+05,85000,51-22-9,Yes,2018,Digital,0.689361702,0.310638298,2015,0.28,0.129,0,212,Yes,Shared,1
661955724,32,FALSE,209,0.063830483,0.005080372,0.251406072,2,No,M,AD,93,M,Finance,1,New Jersey,Public,T.J. Oshie,New Jersey Devils,NHL,0.042,0.023,0.16,No,David,1,78,13,30,No,No,2198.1875,NA,NA,51-22-9,Yes,2018,Digital,0.641843972,0.358156028,1993,0.91,0.08,0,426,Yes,Personal,1
387404561,30,FALSE,3,0.689931137,0.169209361,0.009151971,4,No,M,NA,71,M,NA,0,District of Columbia,NA,NA,Washington Capitals,NA,0.042,0.023,0.17,Yes,Frank,1,55,14,30,NA,NA,2519.27,NA,NA,51-22-9,Yes,2018,Digital,0.765248227,0.234751773,1995,0.97,0.057,0,412,Yes,Personal,1
434966971,1,TRUE,27,0.915825427,0.070668413,0.033108321,2,No,NA,NA,83,S,NA,0,Virginia,NA,NA,Washington Capitals,NA,0.042,0.023,0,No,Grace,2,54.4815043,17,30,NA,NA,3223.675,1700000,90000,51-22-9,Yes,2018,Digital,0.509219858,0.490780142,2020,0.47,0.036,0,407,Yes,Personal,1
225219582,1,FALSE,54,0.642250951,0.079351689,0.009154464,2,No,F,SC,99,M,Finance,0,Virginia,Public,Alexander Ovechkin,Washington Capitals,NHL,0.042,0.023,0.18,No,Grace,2,45,12,60,No,No,2194.2,NA,NA,51-22-9,Yes,2018,Digital,0.812056738,0.187943262,2025,0.31,0.047,0,101,No,Personal,1
810161628,46,FALSE,85,0.107,0.054,0.041,9,Yes,F,NA,71,D,NA,0,Delaware,NA,NA,Washington Capitals,NA,0.042,0.023,0,Yes,Frank,5,69,23,45,NA,NA,4062.54,NA,105000,51-22-9,Yes,2018,Physical,1,0,1979,1,0,16,200,Yes,Business,1
526202574,6,FALSE,2,0.906647926,0.094754288,0.02141492,2,No,NA,BD,74,M,Finance,1,District of Columbia,Walk,Alexander Ovechkin,Washington Capitals,NBA,0.042,0.023,0.21,Yes,Emma,1,65,9,30,Yes,No,1922.76,2050000,NA,51-22-9,Yes,2018,Digital,0.328368794,0.671631206,2019,0.48,0.021,0,Club,Yes,Personal,1
924839980,25,FALSE,NA,0.112719791,0.057916366,0.193399013,2,No,M,HS,62,M,Gov,0,West Virginia,Car,Trevor van Riemsdyk,Washington Capitals,NHL,0.042,0.023,0.3,No,Emma,4,52,NA,30,No,No,1548.03,NA,NA,51-22-9,Yes,2018,Digital,0.803546099,0.196453901,2000,0.98,0.021,0,431,Yes,Personal,1
364291643,1,FALSE,999,0.76,0.058307666,0.124684569,6,No,M,HS,27,NA,Tech,2,Minnesota,Car,Logan Thompson,Minnesota Wild,NHL,0.042,0.023,0.44,No,Ivy,4,11,19.5,-30,No,No,3893.9625,6.00E+05,NA,51-22-9,Yes,2018,Digital,0.604964539,0.395035461,2024,0.93,0.077,0,229,Yes,Personal,0
777175339,1,TRUE,38,0.864788923,0.01,0.264212637,2,No,M,NA,30,D,NA,NA,Maryland,NA,NA,Washington Capitals,NA,0.042,0.023,0,No,Grace,2,48,6,30,NA,NA,2082.87,NA,NA,51-22-9,Yes,2018,Digital,0.645390071,0.354609929,2017,0.75,0.293,0,110,No,Shared,0
608833953,3,FALSE,32,0.591812406,0.133769199,0.140000443,2,No,M,AD,93,M,Gov,1,Virginia,Public,Alexander Ovechkin,Washington Capitals,NHL,0.042,0.023,0.24,No,Emma,3,41.25746971,10.5,30,No,Yes,1488.25,NA,NA,51-22-9,Yes,2018,Digital,0.864539007,0.135460993,2022,0.47,0.078,0,224,Yes,Personal,1
913998065,2,FALSE,54,0.794717767,0.079998015,0.037304843,4,No,M,NA,26,M,NA,2,Virginia,NA,NA,Washington Capitals,NA,0.042,0.023,0.56,No,Ivy,2,77.15028588,15,15,NA,NA,2345.0175,7.00E+05,95000,51-22-9,Yes,2018,Digital,0.864539007,0.135460993,2023,0.67,0.146,0,418,Yes,Personal,1
867886688,22,FALSE,28,0.536816412,0.078956409,0.008359435,2,No,M,NA,51,M,NA,0,Virginia,NA,NA,Washington Capitals,NA,0.042,0.023,0,No,Frank,3,66,19.5,30,NA,NA,3065.36,NA,NA,51-22-9,Yes,2018,Digital,0.783687943,0.216312057,2003,0.91,0.127,0,223,Yes,Personal,1
749445084,NA,FALSE,999,0.176002884,0.047088817,0.031313347,2,No,F,NA,29,M,NA,5,Arkansas,NA,NA,Boston Bruins,NA,0.042,0.023,0.18,No,Frank,1,76,NA,30,NA,NA,1066.11,NA,NA,51-22-9,Yes,2018,Digital,0.717021277,0.282978723,2022,0.6,0.025,0,Club,No,Personal,0
286133700,1,TRUE,37,0.791005139,0.131780899,0.08664812,2,No,M,NA,79,M,NA,0,Maryland,NA,NA,Washington Capitals,NA,0.042,0.023,0.24,No,Ivy,2,63,7,30,NA,NA,1006.22,NA,135000,51-22-9,Yes,2018,Digital,0.680141844,0.319858156,2017,0.87,0.048,0,Club,Yes,Personal,1
983700484,21,FALSE,120,0.10222253,0.041708331,0.0267281,4,No,M,NA,97,M,NA,1,Pennsylvania,NA,NA,Philadelphia Flyers,NA,0.042,0.023,0.31,Yes,Emma,5,72,23.5,30,NA,NA,4345.5825,NA,NA,51-22-9,Yes,2018,Physical,0.458865248,0.541134752,2004,0.99,0.012,0,221,Yes,Personal,1
957006710,NA,TRUE,32,0.658655183,0,1,2,No,M,NA,63,D,NA,0,Virginia,NA,NA,Washington Capitals,NA,0.042,0.023,0,Yes,NA,1,57.13620812,5,15,NA,NA,1892.3625,NA,NA,51-22-9,Yes,2018,Digital,0.468085106,0.531914894,2016,1,0.365,0,412,No,Personal,1
399809215,1,TRUE,999,0.0039018,0.012430504,0.036243483,4,No,M,NA,NA,M,NA,5,California,NA,NA,Anaheim Ducks,NA,0.042,0.023,0,No,Ivy,1,47,7.5,30,NA,NA,1610.44,NA,NA,51-22-9,Yes,2018,Digital,0.738297872,0.261702128,2017,0.95,0.083,0,222,Yes,Personal,0
870981906,15,FALSE,120,0.196022472,0.013220398,0.103732137,8,No,M,NA,NA,M,NA,0,Pennsylvania,NA,NA,Philadelphia Flyers,NA,0.042,0.023,0.17,Yes,David,5,30.8330551,22,45,NA,NA,4030.7625,NA,NA,51-22-9,Yes,2018,Digital,0.820567376,0.179432624,2010,0.84,0.304,0,412,Yes,Personal,1
339369327,2,FALSE,999,0.154558022,0.03695187,0.149471675,2,No,M,NA,51,M,NA,2,New Mexico,NA,NA,Washington Capitals,NA,0.042,0.023,0.43,Yes,Grace,1,22.55058758,7,30,NA,NA,2179.3725,1550000,95000,51-22-9,Yes,2018,Digital,0.932624113,0.067375887,2023,0.91,0.052,0,114,No,Personal,0
956045440,1,TRUE,999,0.189358403,0.088422438,0.054076362,4,No,M,BD,28,M,Gov,3,Wyoming,Car,T.J. Oshie,Washington Capitals,NHL,0.042,0.023,0.29,Yes,Alice,0,33,8,0,No,No,1260.28,NA,NA,51-22-9,Yes,2018,Digital,0.478723404,0.521276596,2020,0.66,0.161,0,Club,Yes,Personal,0
462065659,1,FALSE,132,0.771392123,0.0375018,0.09132828,2,No,M,HS,24,D,Tech,NA,Pennsylvania,Uber/Taxi,Alexander Ovechkin,Philadelphia Flyers,NBA,0.042,0.023,0.13,No,Ivy,2,65.606227,6,0,No,No,1388.46,NA,NA,51-22-9,Yes,2018,Digital,0.826950355,0.173049645,2025,0.89,0.013,0,106,No,Personal,0
940646577,2,FALSE,3,0.746325284,0.044802821,0.072655962,2,No,M,NA,32,M,NA,2,District of Columbia,NA,NA,Washington Capitals,NA,0.042,0.023,0.22,Yes,Alice,2,47.25343711,5.5,30,NA,NA,838.49,NA,NA,51-22-9,Yes,2018,Digital,0.439007092,0.560992908,2023,0.87,0.102,0,207,No,Shared,1
535035128,5,FALSE,3,0.96786374,0.026171715,0.01336346,4,No,M,NA,28,M,NA,2,District of Columbia,NA,NA,Washington Capitals,NA,0.042,0.023,0,No,David,2,27.88726988,5,-15,NA,NA,1902.98,NA,105000,51-22-9,Yes,2018,Digital,0.853191489,0.146808511,2020,0.38,0.041,0,101,Yes,Personal,1
714129563,39,FALSE,999,0.129617897,0.028646192,0.05739217,4,No,M,NA,86,M,NA,NA,Rhode Island,NA,NA,Washington Capitals,NA,0.042,0.023,0,No,David,2,35,8.5,30,NA,NA,1246.37,1700000,65000,51-22-9,Yes,2018,Digital,0.603546099,0.396453901,1986,0.85,0.094,0,221,Yes,Business,1
106964181,1,FALSE,32,0.888858439,0.248057604,0.012197285,2,No,M,NA,19,M,NA,0,Virginia,NA,NA,Washington Capitals,NA,0.042,0.023,0.25,No,Ivy,1,72.94586625,4.5,-30,NA,NA,1315.86,2.00E+05,NA,51-22-9,Yes,2018,Digital,0.546808511,0.453191489,2024,0.85,0.101,0,215,Yes,Personal,1
120394924,24,FALSE,0,0.815051901,0.356382974,0.174088461,2,No,M,MD,99,M,Gov,0,District of Columbia,Public,Anthony Beauvillier,Washington Capitals,NCAA BB,0.042,0.023,0,No,David,3,64.03828218,16,45,Yes,No,3518.955,NA,NA,51-22-9,Yes,2018,Digital,0.505673759,0.494326241,2001,0.73,0.021,0,406,Yes,Personal,1
400660195,14,FALSE,259,0.165917628,0.021251862,0.023319955,4,No,M,NA,70,M,NA,0,West Virginia,NA,NA,Washington Capitals,NA,0.042,0.023,0.51,No,Emma,1,57,19.5,45,NA,NA,3575.3625,NA,NA,51-22-9,Yes,2018,Digital,0.539716312,0.460283688,2011,0.4,0.023,0,210,Yes,Personal,1
595896649,14,FALSE,NA,0.984260742,0.078402046,0.124641597,4,No,M,NA,97,M,NA,0,District of Columbia,NA,NA,Washington Capitals,NA,0.042,0.023,0.24,Yes,David,2,78,18,30,NA,NA,3780.36,3750000,125000,51-22-9,Yes,2018,Physical,0.478723404,0.521276596,2011,0.31,0.147,0,Club,Yes,Personal,1
122109113,28,FALSE,197,0.095536392,0.036433848,0.022429001,2,No,M,HS,56,NA,Edu,3,New Jersey,Public,Andrew Mangiapane,New Jersey Devils,Other,0.042,0.023,0,Yes,Frank,3,72,12.5,30,No,No,1875.9825,NA,120000,51-22-9,Yes,2018,Digital,0.545390071,0.454609929,1997,0.77,0.036,0,218,Yes,Personal,1
130903314,23,FALSE,39,0.91,0.320190707,0.129171503,8,No,M,HS,80,M,Edu,0,Maryland,Public,Tom Wilson,Washington Capitals,NHL,0.042,0.023,0.29,No,Emma,4,44,18,45,Yes,No,2381.25,NA,120000,51-22-9,Yes,2018,Digital,0.562411348,0.437588652,2002,0.63,0.07,0,Club,No,Personal,1
498895578,NA,FALSE,NA,0.625942364,0.290101119,0.180981789,4,No,M,BD,80,NA,Tech,NA,Virginia,Public,Connor McMichael,Washington Capitals,NHL,0.042,0.023,0.22,Yes,Frank,1,38,8.5,45,Yes,No,1497.71,NA,NA,51-22-9,Yes,2018,Physical,0.40212766,0.59787234,2014,0.24,0.175,0,207,Yes,Personal,1
965560509,4,FALSE,32,0.741374002,0.3,0,4,No,M,NA,31,M,NA,4,Virginia,NA,NA,Washington Capitals,NA,0.042,0.023,0,Yes,Alice,2,68.03237865,10,30,NA,NA,2637.82,NA,NA,51-22-9,Yes,2018,Digital,0.670212766,0.329787234,2021,0.86,0.006,0,111,Yes,Shared,1
767243941,1,TRUE,999,0.756,0,0.87,8,Yes,M,NA,31,M,NA,4,Montana,NA,NA,Pittsburgh Penguins,NA,0.042,0.023,0.44,Yes,Ivy,1,59.00880368,11.5,45,NA,NA,2281.91,NA,NA,51-22-9,Yes,2018,Digital,1,0,2020,1,0,7,Club,Yes,Business,0
680141862,19,FALSE,999,0.130384126,0.049718856,0.015747502,4,No,M,NA,51,M,NA,4,Georgia,NA,NA,Washington Capitals,NA,0.042,0.023,0.13,No,NA,1,24,12,45,NA,NA,1997.93,1050000,NA,51-22-9,Yes,2018,Digital,0.773758865,0.226241135,2006,0.6,0.08,0,Suite,Yes,Business,0
322824731,31,FALSE,54,0.95,0.01,0.001394518,4,No,M,PHD,58,D,Gov,0,Virginia,Walk,John Carlson,Washington Capitals,NHL,0.042,0.023,0.49,Yes,Frank,2,44,15,30,No,No,3535.665,NA,NA,51-22-9,Yes,2018,Digital,0.469503546,0.530496454,1994,0.43,0.069,0,Club,No,Personal,1
499596957,1,TRUE,251,0.763,0.068,0.02,8,Yes,M,AD,71,M,Tech,1,West Virginia,Car,T.J. Oshie,Washington Capitals,NHL,0.042,0.023,0.42,Yes,Ivy,2,49.7285933,NA,30,Yes,Yes,3501.525,1350000,NA,51-22-9,Yes,2018,Digital,1,0,2017,1,0,14,416,Yes,Personal,0
752834909,13,FALSE,38,0.93,0.045154783,0.036733343,2,No,M,NA,75,M,NA,0,Maryland,NA,NA,Washington Capitals,NA,0.042,0.023,0.32,No,Emma,3,69,20,45,NA,NA,2802.76,NA,NA,51-22-9,Yes,2018,Digital,0.509929078,0.490070922,2012,0.72,0.011,0,Club,Yes,Personal,1
718339409,32,FALSE,38,0.430702431,0.014626814,0.115837862,4,No,M,NA,97,S,NA,0,Maryland,NA,NA,Washington Capitals,NA,0.042,0.023,0,No,Frank,4,75,16,30,NA,NA,2701.935,NA,NA,51-22-9,Yes,2018,Digital,0.526241135,0.473758865,1993,0.78,0.153,0,Club,Yes,Personal,1
115922398,1,TRUE,38,0.876612658,0.3,0,2,No,M,NA,30,M,NA,NA,Maryland,NA,NA,Washington Capitals,NA,0.042,0.023,0.23,Yes,Ivy,1,10.75707213,8,30,NA,NA,1898.82,NA,NA,51-22-9,Yes,2018,Digital,0.746808511,0.253191489,2017,0.08,0.061,0,412,Yes,Business,1
845081016,1,TRUE,999,0.219136376,0.023528871,0.185984495,2,No,M,BD,76,M,Tech,1,South Dakota,Public,Alexander Ovechkin,Washington Capitals,NHL,0.042,0.023,0.13,No,Alice,1,74.21589482,4.5,30,No,No,955.71,3050000,NA,51-22-9,Yes,2018,Digital,0.558156028,0.441843972,2019,0.54,0.044,0,218,Yes,Personal,0
159034302,2,FALSE,235,0.753109706,0.010876793,0.052951032,4,No,M,NA,25,M,NA,3,North Carolina,NA,NA,Carolina Hurricanes,NA,0.042,0.023,0.47,No,Ivy,0,6.851265712,7,15,NA,NA,1747.08,1.00E+05,NA,51-22-9,Yes,2018,Digital,0.668794326,0.331205674,2023,0.98,0.014,0,116,Yes,Personal,0
779198303,NA,FALSE,1,0.860464855,0.153209727,0.069191849,2,No,M,BD,89,M,Tech,1,District of Columbia,Uber/Taxi,T.J. Oshie,Washington Capitals,NFL,0.042,0.023,0.37,No,David,3,75,13,15,Yes,No,1486.76,1350000,110000,51-22-9,Yes,2018,Digital,0.708510638,0.291489362,1986,0.92,0.019,0,121,Yes,Personal,1
860881448,31,FALSE,189,0.101932357,0.020268455,0.105359794,2,No,M,NA,80,U,NA,1,New Jersey,NA,NA,New Jersey Devils,NA,0.042,0.023,0.29,Yes,David,1,NA,12.5,30,NA,NA,3076.005,NA,85000,51-22-9,Yes,2018,Digital,0.639716312,0.360283688,1994,0.58,0.054,0,225,Yes,Personal,1
530788609,19,FALSE,32,0.89,0.175091307,0.055173536,2,No,M,NA,70,M,NA,1,Virginia,NA,NA,Washington Capitals,NA,0.042,0.023,0,No,Frank,1,41,9,-30,NA,NA,1460.68,NA,95000,51-22-9,Yes,2018,Physical,0.508510638,0.491489362,2006,0.99,0.051,0,Suite,Yes,Personal,1
621914030,4,FALSE,32,0.669563554,0.091343867,0.020525542,2,No,M,NA,25,S,NA,4,Virginia,NA,NA,Washington Capitals,NA,0.042,0.023,0,No,Frank,2,49,9,45,NA,NA,1131.3,NA,NA,51-22-9,Yes,2018,Physical,0.913475177,0.086524823,2021,0.92,0.043,0,Club,Yes,Personal,1
